"county","state","pop.2020","pop.2010","area","Nh","Sh","nh","weights","pop_density","hisp_2020","hisp_2010","totalvotes","DEMOCRAT","REPUBLICAN","THIRD","pop_2020_65","pop_2010_65"
"Iron","Michigan",11631,11811,1211,83,264584.773008379,10,8.3,9.60445912469034,261,163,6789,2493,4216,80,3463,3123
"Hillsdale","Michigan",45746,46646,607,83,264584.773008379,10,8.3,75.3640856672158,1159,830,23302,5883,17037,382,9480,7378
"Cheboygan","Michigan",25579,26059,885,83,264584.773008379,10,8.3,28.9028248587571,402,208,15868,5437,10186,245,7261,5631
"Bay","Michigan",103856,107678,631,83,264584.773008379,10,8.3,164.589540412044,5821,5121,60255,26151,33125,979,22031,17539
"Rice","Minnesota",67097,64231,497.57,87,159605.293102065,6,14.5,134.849367928131,5778,5116,35686,17402,17464,820,10994,7930
"Nicollet","Minnesota",34454,32758,452.29,87,159605.293102065,6,14.5,76.1767892281501,1739,1236,19125,9622,9018,485,5775,3949
"McLeod","Minnesota",36771,36592,491.91,87,159605.293102065,6,14.5,74.7514789290724,2510,1820,20933,6413,13986,534,6934,5611
"Lake of the Woods","Minnesota",3763,4035,1296.7,87,159605.293102065,6,14.5,2.90198195419141,71,37,2408,671,1704,33,986,817
"Koochiching","Minnesota",12062,13320,3102.36,87,159605.293102065,6,14.5,3.88800783919339,167,143,6922,2659,4131,132,3338,2592
"Douglas","Minnesota",39006,35990,634.32,87,159605.293102065,6,14.5,61.4926220204313,718,354,24165,7868,15799,498,9038,7085
"Tunica","Mississippi",9782,10763,455,82,43532.5889271813,2,41,21.4989010989011,260,243,3562,2580,926,56,1246,1033
"Harrison","Mississippi",208621,187868,581,82,43532.5889271813,2,41,359.072289156626,11547,9982,75768,27728,46822,1218,33415,22075
"Texas","Missouri",24487,26043,632,115,126522.115306847,7,16.4285714285714,38.745253164557,593,431,11315,1716,9478,121,5554,4690
"Montgomery","Missouri",11322,12209,539,115,126522.115306847,7,16.4285714285714,21.0055658627087,279,173,5772,1208,4465,99,2399,2273
"Madison","Missouri",12626,12197,528,115,126522.115306847,7,16.4285714285714,23.9128787878788,292,249,5676,1019,4584,73,2412,2171
"Jefferson","Missouri",226739,219130,657,115,126522.115306847,7,16.4285714285714,345.112633181126,4889,3444,116688,37523,77046,2119,36484,24598
"Daviess","Missouri",8430,8444,567,115,126522.115306847,7,16.4285714285714,14.8677248677249,139,86,3911,746,3102,63,1747,1453
"Bollinger","Missouri",10567,12349,621,115,126522.115306847,7,16.4285714285714,17.0161030595813,190,100,5983,750,5167,66,2594,2061
"Bates","Missouri",16042,17026,848,115,126522.115306847,7,16.4285714285714,18.9174528301887,420,279,8416,1672,6597,147,3292,3006
"Rosebud","Montana",8329,9245,5012,56,34272.6244122182,1,56,1.66181165203512,448,321,3773,1199,2486,88,1474,1061
"Jefferson","Nebraska",7240,7521,573,93,70783.6212276329,3,31,12.6352530541012,359,205,3716,1016,2616,84,1735,1657
"Dawson","Nebraska",24111,24302,1013,93,70783.6212276329,3,31,23.8015794669299,7969,7794,9178,2497,6524,157,4037,3370
