"county","state","pop","area","Nh","Sh","id"
"Washington","Pennsylvania",209349,861,67,281443.882706996,2251
"Union","Pennsylvania",42681,317,67,281443.882706996,2254
"Perry","Pennsylvania",45842,556,67,281443.882706996,2264
"Montour","Pennsylvania",18136,132,67,281443.882706996,2267
"Mercer","Pennsylvania",110652,683,67,281443.882706996,2271
"Fayette","Pennsylvania",128804,798,67,281443.882706996,2288
"Delaware","Pennsylvania",576830,191,67,281443.882706996,2291
"Carbon","Pennsylvania",64749,387,67,281443.882706996,2301
"Allegheny","Pennsylvania",1250578,745,67,281443.882706996,2312
"Bristol","Rhode Island",50793,24,5,250762.290397101,2318
"Laurens","South Carolina",67539,724,46,127977.987458821,2335
"Edgefield","South Carolina",25657,507,46,127977.987458821,2346
"Barnwell","South Carolina",20589,557,46,127977.987458821,2359
"Bon Homme","South Dakota",7003,563,66,28258.6489570307,2427
"Humphreys","Tennessee",18990,532,95,135650.411399433,2483
"Hamilton","Tennessee",366207,543,95,135650.411399433,2493
"Fentress","Tennessee",18489,499,95,135650.411399433,2501
"Clay","Tennessee",7581,236,95,135650.411399433,2512
"Chester","Tennessee",17341,289,95,135650.411399433,2514
"Anderson","Tennessee",77123,338,95,135650.411399433,2525
"Zapata","Texas",13889,997,254,410607.280560303,2527
"Wheeler","Texas",4990,914,254,410607.280560303,2538
"Val Verde","Texas",47586,3171,254,410607.280560303,2547
"Uvalde","Texas",24564,1557,254,410607.280560303,2548
"Upton","Texas",3308,1242,254,410607.280560303,2549
"Throckmorton","Texas",1440,912,254,410607.280560303,2556
"Tarrant","Texas",2110640,864,254,410607.280560303,2560
"Swisher","Texas",6971,900,254,410607.280560303,2561
"Sterling","Texas",1372,923,254,410607.280560303,2564
"Starr","Texas",65920,1223,254,410607.280560303,2566
"Smith","Texas",233479,928,254,410607.280560303,2568
"Schleicher","Texas",2451,1311,254,410607.280560303,2573
"Red River","Texas",11587,1050,254,410607.280560303,2586
"Randall","Texas",140753,914,254,410607.280560303,2589
"Potter","Texas",118525,909,254,410607.280560303,2592
"Palo Pinto","Texas",28409,953,254,410607.280560303,2598
"Ochiltree","Texas",10015,918,254,410607.280560303,2601
"Navarro","Texas",52624,1071,254,410607.280560303,2605
"Mitchell","Texas",8990,910,254,410607.280560303,2612
"Medina","Texas",50748,1328,254,410607.280560303,2617
"McMullen","Texas",600,1113,254,410607.280560303,2618
"Live Oak","Texas",11335,1036,254,410607.280560303,2631
"Lee","Texas",17478,629,254,410607.280560303,2636
"Lavaca","Texas",20337,970,254,410607.280560303,2637
"Kimble","Texas",4286,1251,254,410607.280560303,2646
"Kerr","Texas",52598,1106,254,410607.280560303,2647
"Kendall","Texas",44279,662,254,410607.280560303,2650
"Jim Wells","Texas",38891,865,254,410607.280560303,2655
"Irion","Texas",1513,1052,254,410607.280560303,2662
"Howard","Texas",34860,903,254,410607.280560303,2666
"Hockley","Texas",21537,908,254,410607.280560303,2670
"Gray","Texas",21227,928,254,410607.280560303,2690
"Gonzales","Texas",19653,1068,254,410607.280560303,2691
"Garza","Texas",5816,896,254,410607.280560303,2695
"Gaines","Texas",21598,1502,254,410607.280560303,2697
"Foard","Texas",1095,707,254,410607.280560303,2702
"Duval","Texas",9831,1793,254,410607.280560303,2714
"Dimmit","Texas",8615,1331,254,410607.280560303,2716
"Denton","Texas",906422,888,254,410607.280560303,2719
"Delta","Texas",5230,277,254,410607.280560303,2720
"Dallas","Texas",2613539,880,254,410607.280560303,2723
"Colorado","Texas",20557,963,254,410607.280560303,2735
"Cochran","Texas",2547,775,254,410607.280560303,2740
"Chambers","Texas",46571,599,254,410607.280560303,2744
"Callahan","Texas",13708,899,254,410607.280560303,2750
"Caldwell","Texas",45883,546,254,410607.280560303,2752
"Burnet","Texas",49130,995,254,410607.280560303,2753
"Burleson","Texas",17642,666,254,410607.280560303,2754
"Bee","Texas",31047,880,254,410607.280560303,2767
"Bandera","Texas",20851,792,254,410607.280560303,2770
"Armstrong","Texas",1848,914,254,410607.280560303,2774
"Archer","Texas",8560,910,254,410607.280560303,2775
"Anderson","Texas",57922,1071,254,410607.280560303,2779
"Weber","Utah",262223,659,29,249305.155480369,2780
"San Juan","Utah",14518,7933,29,249305.155480369,2790
"Salt Lake","Utah",1185238,807,29,249305.155480369,2791
"Iron","Utah",57289,3301,29,249305.155480369,2798
"Scott","Virginia",21576,537,133,128348.708646346,2843
"Rappahannock","Virginia",7348,267,133,128348.708646346,2852
"Prince Edward","Virginia",21849,353,133,128348.708646346,2857
"Northampton","Virginia",12282,207,133,128348.708646346,2869
"New Kent","Virginia",22945,210,133,128348.708646346,2872
"Harrisonburg, City of","Virginia",51814,18,133,128348.708646346,2898
"Franklin, City of","Virginia",8180,8,133,128348.708646346,2911
"Falls Church, City of","Virginia",14658,2.1,133,128348.708646346,2916
"Emporia, City of","Virginia",5766,7,133,128348.708646346,2920
"Whatcom","Washington",226847,2107,39,401738.193812715,2958
"Pierce","Washington",921130,1670,39,401738.193812715,2968
"Mason","Washington",65726,959,39,401738.193812715,2972
"Lincoln","Washington",10876,2311,39,401738.193812715,2973
"Klickitat","Washington",22735,1872,39,401738.193812715,2975
"Grays Harbor","Washington",75636,1902,39,401738.193812715,2981
"Cowlitz","Washington",110730,1139,39,401738.193812715,2987
"Benton","Washington",206873,1700,39,401738.193812715,2992
"Jackson","West Virginia",27791,466,55,33319.6156309757,3032
"Walworth","Wisconsin",106478,555.13,72,136134.660749665,3057
"Richland","Wisconsin",17304,586.15,72,136134.660749665,3069
"Langlade","Wisconsin",19491,870.64,72,136134.660749665,3088
"La Crosse","Wisconsin",120784,451.69,72,136134.660749665,3090
"Clark","Wisconsin",34659,1209.82,72,136134.660749665,3112
